,,,,Macro-P,Macro-R,Macro-AUC,Macro-F05,Macro-F1
C4G,SANTINIS,5000,cosine_sim,0.0852472117,0.0834916667,0,0.0848902213,0.0843603069
C4G,SANTINIS,10000,cosine_sim,0.0877921948,0.0794083333,0,0.0859767255,0.0833900699
C4G,SANTINIS,50000,cosine_sim,0.08215233,0.0778416667,0,0.0812524216,0.079938928
C4G,SANTINIS,100000,cosine_sim,0.0854519004,0.0855833333,0,0.0854781547,0.0855175664
C4G,SANTINIS,5000,minmax_sim,0.8710801394,0.0833333333,0,0.3013500482,0.15211439
C4G,SANTINIS,10000,minmax_sim,0.8710801394,0.0833333333,0,0.3013500482,0.15211439
C4G,SANTINIS,50000,minmax_sim,0.8710801394,0.0833333333,0,0.3013500482,0.15211439
C4G,SANTINIS,100000,minmax_sim,0.8710801394,0.0833333333,0,0.3013500482,0.15211439
